derived_ethnicity,derived_race,derived_sex,action_taken,loan_amount,interest_rate,property_value,income,applicant_age
Ethnicity Not Available,Race Not Available,Male,1,5000,3.25,265000,50,35-44
Hispanic or Latino,Asian,Female,3,205000,4.458762699,335000,30,>74
Ethnicity Not Available,Race Not Available,Sex Not Available,3,155000,4.458762699,205000,33,35-44
Ethnicity Not Available,Race Not Available,Female,1,675000,4.25,1045000,195,35-44
Not Hispanic or Latino,Asian,Male,1,625000,4.75,625000,112,35-44
Not Hispanic or Latino,Joint,Joint,1,425000,2.875,725000,226,35-44
Not Hispanic or Latino,White,Female,1,475000,3.5,805000,125,35-44
Not Hispanic or Latino,White,Male,1,295000,3.625,295000,76,25-34
Hispanic or Latino,White,Joint,1,305000,4.5,655000,93,35-44
Not Hispanic or Latino,Asian,Female,1,525000,4.25,545000,0,35-44
Not Hispanic or Latino,White,Joint,1,305000,4.75,315000,102,25-34
Not Hispanic or Latino,White,Female,1,315000,4.5,435000,76,35-44
Joint,White,Joint,1,475000,4.25,505000,94,25-34
Ethnicity Not Available,Race Not Available,Joint,1,365000,4,455000,98,55-64
Not Hispanic or Latino,Asian,Female,1,535000,4.375,695000,216,45-54
Not Hispanic or Latino,White,Joint,1,235000,4,615000,56,55-64
Ethnicity Not Available,Race Not Available,Sex Not Available,1,255000,4.5,315000,65,45-54
Ethnicity Not Available,White,Female,1,185000,5.875,225000,61,65-74
Not Hispanic or Latino,White,Male,1,435000,4.125,445000,161,25-34
Not Hispanic or Latino,White,Joint,1,545000,3.875,675000,145,35-44
Not Hispanic or Latino,White,Female,1,245000,3.625,625000,131,45-54
Not Hispanic or Latino,Black or African American,Male,3,185000,4.458762699,655000,27,45-54
Ethnicity Not Available,Race Not Available,Male,1,435000,3.875,545000,157,35-44
Not Hispanic or Latino,White,Female,1,485000,4.5,605000,204,35-44
Not Hispanic or Latino,White,Joint,1,515000,4,645000,104,25-34
Not Hispanic or Latino,White,Female,3,385000,4.458762699,415000,63,55-64
Not Hispanic or Latino,White,Female,3,305000,4.458762699,515000,49,65-74
Not Hispanic or Latino,White,Male,1,225000,3.75,295000,87,35-44
Not Hispanic or Latino,White,Male,1,225000,4.25,235000,61,<25
Hispanic or Latino,Race Not Available,Male,3,205000,4.458762699,425000,46,45-54
Not Hispanic or Latino,Joint,Joint,1,245000,3.625,435000,135,55-64
Not Hispanic or Latino,Asian,Female,1,415000,4.375,435000,99,45-54
Hispanic or Latino,White,Female,1,545000,4.25,705000,97,55-64
Not Hispanic or Latino,White,Joint,1,485000,3.875,605000,181,35-44
Ethnicity Not Available,Race Not Available,Sex Not Available,1,545000,4.125,555000,153,55-64
Not Hispanic or Latino,White,Female,1,155000,4.375,165000,55,35-44
Not Hispanic or Latino,Asian,Joint,1,365000,3.75,445000,120,45-54
Hispanic or Latino,White,Male,1,445000,3.625,635000,96,35-44
Ethnicity Not Available,Race Not Available,Sex Not Available,1,455000,4,755000,95,35-44
Hispanic or Latino,White,Male,1,405000,4,705000,72,55-64
Not Hispanic or Latino,Asian,Female,1,395000,4.125,545000,89,25-34
Not Hispanic or Latino,White,Joint,1,205000,3.75,215000,0,65-74
Hispanic or Latino,White,Female,1,455000,4.75,535000,100,45-54
Hispanic or Latino,White,Male,1,195000,5.375,245000,41,25-34
Not Hispanic or Latino,White,Male,1,435000,3.875,595000,106,35-44
Not Hispanic or Latino,White,Joint,1,375000,4,505000,107,25-34
Joint,White,Joint,1,695000,3.375,695000,166,25-34
Hispanic or Latino,White,Joint,1,585000,3.375,585000,97,55-64
Ethnicity Not Available,Race Not Available,Joint,1,345000,4,435000,108,45-54
Ethnicity Not Available,Race Not Available,Sex Not Available,3,205000,4.458762699,205000,23,65-74
Not Hispanic or Latino,White,Joint,1,485000,3.75,655000,144,45-54
Not Hispanic or Latino,Asian,Joint,1,565000,4.125,565000,0,45-54
Not Hispanic or Latino,White,Joint,1,525000,4.25,515000,182,25-34
Not Hispanic or Latino,Asian,Joint,1,715000,4.625,915000,132,35-44
Not Hispanic or Latino,White,Female,1,215000,4.5,265000,58,25-34
Hispanic or Latino,White,Female,1,425000,4.25,435000,136,25-34
Hispanic or Latino,White,Joint,1,295000,4.5,355000,71,45-54
Not Hispanic or Latino,Joint,Joint,1,355000,3.625,455000,112,45-54
Not Hispanic or Latino,Black or African American,Male,1,535000,4.375,675000,181,45-54
Ethnicity Not Available,Race Not Available,Sex Not Available,1,365000,2.875,765000,162,45-54
Not Hispanic or Latino,Asian,Male,1,455000,4,545000,91,35-44
Not Hispanic or Latino,Black or African American,Female,1,265000,4.75,325000,92,25-34
Not Hispanic or Latino,White,Male,1,305000,3.375,925000,158,55-64
Not Hispanic or Latino,Asian,Male,1,345000,3.875,575000,185,55-64
Not Hispanic or Latino,White,Joint,1,465000,3.625,625000,100,45-54
Not Hispanic or Latino,White,Joint,1,575000,3.75,665000,0,55-64
Not Hispanic or Latino,Asian,Male,1,455000,4.25,565000,102,45-54
Ethnicity Not Available,Race Not Available,Sex Not Available,1,575000,4.125,625000,0,65-74
Not Hispanic or Latino,Black or African American,Male,1,395000,3.75,395000,67,35-44
Ethnicity Not Available,Race Not Available,Sex Not Available,1,575000,4.375,675000,132,35-44
Ethnicity Not Available,Race Not Available,Sex Not Available,1,415000,4.5,425000,75,25-34
Not Hispanic or Latino,White,Joint,1,455000,3.625,605000,96,35-44
Ethnicity Not Available,Race Not Available,Female,1,375000,4,485000,236,25-34
Not Hispanic or Latino,Asian,Joint,1,505000,3.875,685000,251,45-54
Not Hispanic or Latino,White,Female,1,345000,3.625,405000,62,45-54
Hispanic or Latino,White,Female,1,385000,4.375,485000,77,55-64
Hispanic or Latino,White,Female,1,305000,3.875,435000,70,35-44
Not Hispanic or Latino,White,Female,1,435000,4,515000,107,35-44
Not Hispanic or Latino,Asian,Joint,1,575000,3.875,625000,119,25-34
Ethnicity Not Available,Race Not Available,Sex Not Available,1,515000,4,515000,0,25-34
Hispanic or Latino,White,Male,1,265000,4.875,275000,167,55-64
Ethnicity Not Available,Race Not Available,Sex Not Available,1,185000,4.25,265000,70,35-44
Not Hispanic or Latino,White,Joint,1,785000,3.625,785000,0,45-54
Not Hispanic or Latino,White,Joint,1,145000,4.125,155000,54,25-34
Not Hispanic or Latino,American Indian or Alaska Native,Joint,1,315000,3.875,355000,88,65-74
Not Hispanic or Latino,Joint,Joint,1,595000,3.875,705000,127,65-74
Hispanic or Latino,Native Hawaiian or Other Pacific Islander,Male,1,215000,3.375,285000,95,35-44
Not Hispanic or Latino,Asian,Female,1,355000,4,545000,108,55-64
Hispanic or Latino,White,Joint,1,395000,4,665000,94,65-74
Not Hispanic or Latino,White,Female,1,165000,3.75,215000,48,45-54
Not Hispanic or Latino,White,Joint,1,495000,4,565000,143,25-34
Not Hispanic or Latino,White,Female,1,465000,4.25,595000,117,35-44
Not Hispanic or Latino,White,Joint,1,325000,3.875,445000,130,35-44
Joint,White,Joint,3,505000,4.458762699,525000,92,25-34
Hispanic or Latino,White,Joint,1,755000,3.875,1075000,223,35-44
Not Hispanic or Latino,White,Female,1,435000,3.865,1005000,86,65-74
Hispanic or Latino,White,Female,1,345000,3.875,435000,60,25-34
Ethnicity Not Available,Race Not Available,Sex Not Available,1,685000,3.875,795000,188,35-44
Not Hispanic or Latino,White,Male,1,485000,4,815000,203,45-54
Ethnicity Not Available,White,Male,1,555000,3.75,705000,105,25-34
Not Hispanic or Latino,White,Joint,1,435000,2.99,755000,129,45-54
Not Hispanic or Latino,White,Joint,1,435000,3.5,565000,107,25-34
Not Hispanic or Latino,White,Joint,1,375000,4.49,475000,126,35-44
Ethnicity Not Available,White,Male,1,485000,3.875,655000,120,35-44
Hispanic or Latino,White,Male,1,475000,4.875,565000,123,45-54
Not Hispanic or Latino,Asian,Male,1,405000,2.875,935000,170,25-34
Hispanic or Latino,White,Female,1,285000,3.99,625000,43,35-44
Not Hispanic or Latino,White,Joint,1,465000,3.625,755000,170,45-54
Not Hispanic or Latino,White,Joint,1,545000,4,925000,140,65-74
Ethnicity Not Available,Race Not Available,Sex Not Available,1,275000,4.5,345000,80,25-34
Not Hispanic or Latino,White,Male,1,155000,4.375,155000,35,65-74
Not Hispanic or Latino,White,Joint,1,105000,3.75,285000,0,65-74
Not Hispanic or Latino,White,Joint,1,635000,3.75,905000,230,45-54
Not Hispanic or Latino,White,Female,1,445000,3.5,695000,130,45-54
Not Hispanic or Latino,White,Male,1,605000,3.875,755000,123,45-54
Not Hispanic or Latino,Asian,Female,1,405000,4.5,565000,113,25-34
Ethnicity Not Available,Race Not Available,Sex Not Available,1,625000,3.875,915000,177,55-64
Not Hispanic or Latino,White,Female,1,445000,4,455000,101,55-64
Not Hispanic or Latino,White,Joint,1,305000,4.125,425000,132,45-54
Not Hispanic or Latino,White,Joint,1,405000,4.5,545000,118,35-44
Hispanic or Latino,White,Male,1,345000,3.875,895000,119,55-64
Not Hispanic or Latino,Race Not Available,Male,1,375000,3.5,765000,127,45-54
Not Hispanic or Latino,Asian,Male,1,405000,3,875000,225,25-34
Not Hispanic or Latino,White,Female,1,405000,3.25,415000,125,25-34
Not Hispanic or Latino,White,Joint,1,255000,4,285000,120,35-44
Not Hispanic or Latino,Black or African American,Female,1,375000,4.5,445000,91,45-54
Not Hispanic or Latino,Asian,Male,1,225000,3.115,605000,107,35-44
Hispanic or Latino,White,Joint,1,465000,3.75,495000,101,25-34
Not Hispanic or Latino,Asian,Joint,1,485000,3.615,555000,153,35-44
Not Hispanic or Latino,White,Male,1,405000,2.75,555000,105,45-54
Not Hispanic or Latino,White,Male,1,305000,3.625,345000,97,35-44
Hispanic or Latino,White,Male,1,525000,4,535000,113,25-34
Not Hispanic or Latino,White,Female,1,255000,3.875,925000,92,55-64
Hispanic or Latino,White,Male,1,275000,4.375,345000,75,35-44
Not Hispanic or Latino,White,Joint,1,275000,4,345000,123,65-74
Not Hispanic or Latino,White,Male,1,255000,3.5,255000,0,55-64
Not Hispanic or Latino,White,Male,1,735000,3.75,825000,205,45-54
Hispanic or Latino,White,Female,1,305000,4.125,305000,76,45-54
Hispanic or Latino,White,Female,1,15000,3,305000,76,45-54
Hispanic or Latino,White,Male,1,735000,4.75,915000,230,55-64
Ethnicity Not Available,Race Not Available,Sex Not Available,1,265000,3.375,445000,117,25-34
Not Hispanic or Latino,White,Female,1,265000,3.5,315000,66,45-54
Hispanic or Latino,White,Joint,1,375000,4,425000,100,65-74
Not Hispanic or Latino,Joint,Joint,1,535000,4.375,555000,99,45-54
Ethnicity Not Available,Race Not Available,Male,1,455000,3.625,575000,123,35-44
Not Hispanic or Latino,White,Male,1,635000,4.25,915000,250,35-44
Not Hispanic or Latino,White,Male,1,275000,3.5,405000,96,25-34
Not Hispanic or Latino,White,Female,1,365000,3.375,385000,102,<25
Ethnicity Not Available,American Indian or Alaska Native,Joint,1,395000,4.625,405000,127,25-34
Hispanic or Latino,Race Not Available,Female,1,105000,4,395000,20,25-34
Ethnicity Not Available,Race Not Available,Sex Not Available,1,485000,4,545000,127,35-44
Not Hispanic or Latino,Asian,Male,1,535000,3.875,625000,120,35-44
Hispanic or Latino,White,Joint,3,675000,4.458762699,625000,149,35-44
Ethnicity Not Available,Race Not Available,Sex Not Available,3,295000,4.458762699,1105000,41,>74
Not Hispanic or Latino,Asian,Male,1,475000,3.99,595000,93,25-34
Not Hispanic or Latino,White,Joint,1,425000,4.875,565000,146,35-44
Hispanic or Latino,White,Joint,1,285000,5.25,295000,82,25-34
Not Hispanic or Latino,White,Male,1,575000,5,825000,124,35-44
Hispanic or Latino,White,Joint,1,375000,4,645000,100,55-64
Not Hispanic or Latino,Asian,Male,1,425000,3.49,575000,150,45-54
Hispanic or Latino,White,Male,1,375000,4.25,505000,77,45-54
Ethnicity Not Available,Race Not Available,Sex Not Available,1,675000,3.5,675000,203,45-54
Ethnicity Not Available,Race Not Available,Male,1,645000,3.75,655000,121,25-34
Not Hispanic or Latino,White,Male,1,695000,4,745000,192,55-64
Not Hispanic or Latino,White,Male,3,335000,4.458762699,435000,55,65-74
Hispanic or Latino,White,Female,1,245000,3.99,275000,44,25-34
Not Hispanic or Latino,White,Male,1,545000,3.625,925000,124,45-54
Not Hispanic or Latino,Asian,Female,1,535000,4,595000,120,35-44
Not Hispanic or Latino,Asian,Female,1,425000,4.125,535000,84,35-44
Not Hispanic or Latino,White,Male,1,505000,4.875,645000,152,35-44
Ethnicity Not Available,Race Not Available,Sex Not Available,3,305000,4.458762699,325000,71,45-54
Ethnicity Not Available,Race Not Available,Sex Not Available,3,165000,4.458762699,165000,32,55-64
Joint,White,Joint,1,465000,4,465000,146,25-34
Not Hispanic or Latino,White,Male,1,405000,2.99,555000,100,55-64
Not Hispanic or Latino,White,Joint,1,565000,3.75,715000,156,45-54
Hispanic or Latino,White,Joint,1,425000,3.5,425000,0,45-54
Hispanic or Latino,White,Female,1,165000,3.75,195000,48,35-44
Not Hispanic or Latino,White,Joint,1,305000,4.5,395000,96,25-34
Not Hispanic or Latino,White,Joint,1,615000,4,825000,258,55-64
Hispanic or Latino,White,Male,1,625000,3.625,755000,0,55-64
Not Hispanic or Latino,Asian,Male,1,525000,3.875,875000,180,35-44
Not Hispanic or Latino,White,Female,1,335000,3.625,395000,128,55-64
Not Hispanic or Latino,White,Joint,1,465000,3.5,715000,145,35-44
Ethnicity Not Available,White,Male,1,435000,3.375,845000,88,35-44
Not Hispanic or Latino,White,Male,3,315000,4.458762699,475000,64,55-64
Not Hispanic or Latino,White,Male,1,385000,4.125,395000,88,35-44
Not Hispanic or Latino,White,Joint,1,505000,3.875,855000,204,45-54
Hispanic or Latino,White,Female,1,445000,4,465000,80,35-44
Not Hispanic or Latino,White,Female,1,275000,4,375000,106,55-64
Not Hispanic or Latino,White,Male,1,15000,3,395000,88,35-44
Hispanic or Latino,White,Male,1,605000,4.25,605000,122,45-54
Hispanic or Latino,White,Joint,1,435000,4.375,575000,139,45-54
Hispanic or Latino,White,Joint,1,455000,3.875,555000,111,35-44
Not Hispanic or Latino,White,Female,1,595000,4.5,655000,182,35-44
Ethnicity Not Available,White,Joint,1,345000,4,405000,59,65-74
Ethnicity Not Available,Race Not Available,Sex Not Available,1,465000,3.375,535000,120,25-34
Ethnicity Not Available,Race Not Available,Male,1,325000,4.5,475000,84,35-44
Not Hispanic or Latino,Asian,Male,1,575000,4.25,1055000,194,35-44
Not Hispanic or Latino,White,Female,1,435000,3.625,745000,139,35-44
Not Hispanic or Latino,White,Joint,1,435000,3.75,555000,233,45-54
Joint,White,Joint,1,385000,3.5,385000,0,25-34
Not Hispanic or Latino,White,Joint,1,655000,3.625,725000,186,25-34
Not Hispanic or Latino,Asian,Male,1,455000,3.875,605000,84,25-34
Not Hispanic or Latino,Asian,Female,1,205000,4,335000,72,55-64
Not Hispanic or Latino,White,Joint,1,165000,4.5,485000,102,35-44
Not Hispanic or Latino,White,Joint,1,455000,3.615,725000,143,35-44
Not Hispanic or Latino,Joint,Joint,1,455000,3.115,675000,220,25-34
Not Hispanic or Latino,White,Joint,1,585000,4.125,595000,155,45-54
Not Hispanic or Latino,Asian,Female,1,365000,3.875,385000,172,55-64
Joint,Asian,Joint,1,375000,3.875,645000,195,55-64
Not Hispanic or Latino,Asian,Male,1,535000,3.375,595000,135,35-44
Hispanic or Latino,White,Joint,1,625000,4,1095000,228,55-64
Hispanic or Latino,White,Female,1,315000,4.75,325000,70,45-54
Not Hispanic or Latino,White,Male,1,605000,4,855000,116,45-54
Not Hispanic or Latino,White,Joint,1,405000,4.125,405000,109,35-44
Ethnicity Not Available,Race Not Available,Sex Not Available,3,255000,4.458762699,255000,46,55-64
Ethnicity Not Available,Race Not Available,Sex Not Available,1,265000,3.375,325000,98,25-34
Hispanic or Latino,White,Male,1,275000,4.75,275000,135,<25
Not Hispanic or Latino,White,Joint,1,345000,5,365000,108,35-44
Ethnicity Not Available,Race Not Available,Male,1,135000,3.99,215000,29,45-54
Ethnicity Not Available,Race Not Available,Sex Not Available,1,425000,3.75,435000,0,65-74
Not Hispanic or Latino,Asian,Male,1,305000,3.875,425000,120,25-34
Hispanic or Latino,Race Not Available,Female,1,425000,3.625,435000,96,25-34
Ethnicity Not Available,White,Female,1,455000,3.75,575000,108,35-44
Not Hispanic or Latino,White,Joint,1,315000,3.375,325000,84,25-34
Not Hispanic or Latino,White,Joint,1,645000,3.875,805000,218,25-34
Not Hispanic or Latino,Asian,Male,1,345000,2.875,475000,97,45-54
Not Hispanic or Latino,White,Female,1,485000,3.5,685000,85,35-44
Not Hispanic or Latino,Black or African American,Female,1,285000,5.625,335000,110,35-44
Hispanic or Latino,Race Not Available,Joint,1,345000,4.375,425000,108,35-44
Not Hispanic or Latino,White,Female,1,585000,4.5,795000,190,35-44
Hispanic or Latino,Race Not Available,Female,1,375000,4.375,535000,85,35-44
Hispanic or Latino,White,Joint,1,225000,3.99,245000,105,65-74
Hispanic or Latino,2 or more minority races,Female,3,125000,4.458762699,155000,24,45-54
Not Hispanic or Latino,White,Male,3,355000,4.458762699,465000,80,45-54
Ethnicity Not Available,Race Not Available,Sex Not Available,1,365000,3.49,855000,160,25-34
Joint,White,Joint,1,355000,4.5,505000,121,45-54
Not Hispanic or Latino,White,Male,1,355000,4,455000,180,45-54
Not Hispanic or Latino,White,Male,1,235000,4.375,335000,79,35-44
Not Hispanic or Latino,White,Joint,1,495000,4.25,645000,122,45-54
Ethnicity Not Available,Race Not Available,Male,1,415000,3.5,595000,96,25-34
Not Hispanic or Latino,Asian,Male,1,225000,3.75,225000,62,45-54
Ethnicity Not Available,Race Not Available,Sex Not Available,1,465000,3.625,705000,150,25-34
Hispanic or Latino,White,Joint,1,105000,4.25,405000,24,>74
Not Hispanic or Latino,White,Female,1,245000,3.5,355000,81,35-44
Ethnicity Not Available,White,Male,1,245000,4,255000,60,35-44
Not Hispanic or Latino,Asian,Male,1,485000,3.375,655000,153,25-34
Not Hispanic or Latino,Asian,Male,1,275000,3.625,475000,72,25-34
Not Hispanic or Latino,White,Joint,1,435000,3.99,455000,195,25-34
Not Hispanic or Latino,White,Male,1,315000,2.875,555000,128,55-64
Not Hispanic or Latino,Asian,Female,1,275000,3.5,455000,65,25-34
Not Hispanic or Latino,White,Joint,1,285000,3.375,365000,112,45-54
Hispanic or Latino,White,Male,1,75000,5.75,125000,69,65-74
Not Hispanic or Latino,White,Male,1,225000,4.25,225000,50,25-34
Not Hispanic or Latino,White,Male,1,555000,3.375,555000,114,45-54
Not Hispanic or Latino,Black or African American,Female,1,395000,3.75,465000,112,35-44
Ethnicity Not Available,Race Not Available,Sex Not Available,1,325000,4.25,405000,78,35-44
Hispanic or Latino,White,Male,1,195000,3.99,205000,50,55-64
Not Hispanic or Latino,Asian,Male,1,495000,4,545000,112,25-34
Ethnicity Not Available,Race Not Available,Sex Not Available,1,625000,4,975000,168,45-54
Not Hispanic or Latino,Asian,Joint,1,495000,3.125,955000,85,>74
Not Hispanic or Latino,White,Male,1,385000,4,555000,84,55-64
Not Hispanic or Latino,White,Joint,1,155000,4.25,345000,55,65-74
Not Hispanic or Latino,White,Male,1,525000,4.25,545000,108,35-44
Hispanic or Latino,White,Female,1,485000,4.875,615000,135,35-44
Not Hispanic or Latino,White,Joint,1,435000,4.25,715000,206,45-54
Hispanic or Latino,White,Joint,1,445000,4.25,615000,118,35-44
Not Hispanic or Latino,White,Female,1,265000,3.75,275000,58,55-64
Not Hispanic or Latino,Race Not Available,Female,1,335000,3.375,565000,68,55-64
Not Hispanic or Latino,Black or African American,Male,3,505000,4.458762699,635000,124,55-64
Not Hispanic or Latino,Asian,Male,1,495000,5.125,635000,116,25-34
Hispanic or Latino,Race Not Available,Female,1,135000,3.875,445000,57,35-44
Not Hispanic or Latino,Race Not Available,Joint,1,625000,3.5,905000,237,35-44
Not Hispanic or Latino,White,Male,1,385000,3.75,395000,154,65-74
Not Hispanic or Latino,White,Female,1,585000,3.875,695000,105,25-34
Hispanic or Latino,Race Not Available,Male,1,225000,4.25,265000,63,35-44
Ethnicity Not Available,White,Joint,1,365000,3.49,405000,136,25-34
Not Hispanic or Latino,Black or African American,Male,3,275000,4.458762699,475000,48,65-74
Hispanic or Latino,Race Not Available,Joint,1,215000,2.875,265000,111,45-54
Not Hispanic or Latino,Black or African American,Joint,1,395000,3.375,505000,97,>74
Hispanic or Latino,White,Joint,1,345000,3.5,355000,0,45-54
Not Hispanic or Latino,White,Male,1,485000,4.875,535000,167,35-44
Hispanic or Latino,White,Joint,1,275000,4.375,505000,88,45-54
Not Hispanic or Latino,White,Female,1,625000,3.5,655000,129,25-34
Ethnicity Not Available,Race Not Available,Sex Not Available,1,415000,3.99,505000,100,35-44
Ethnicity Not Available,White,Male,1,335000,3.75,705000,78,65-74
Hispanic or Latino,White,Joint,1,185000,3.375,255000,24,35-44
Ethnicity Not Available,Race Not Available,Sex Not Available,1,335000,4.875,455000,133,55-64
Not Hispanic or Latino,White,Male,1,245000,4.25,355000,42,45-54
Hispanic or Latino,White,Joint,1,335000,4.375,475000,52,45-54
Not Hispanic or Latino,Asian,Joint,1,405000,3.99,475000,61,45-54
Not Hispanic or Latino,White,Male,1,555000,4,925000,116,35-44
Not Hispanic or Latino,White,Joint,1,205000,3.75,245000,75,35-44
Hispanic or Latino,White,Male,1,305000,4.25,315000,71,45-54
Not Hispanic or Latino,White,Male,1,315000,3.875,335000,131,35-44
Ethnicity Not Available,Race Not Available,Sex Not Available,1,445000,4.25,555000,107,45-54
Hispanic or Latino,White,Male,1,225000,3.125,375000,126,55-64
Ethnicity Not Available,Race Not Available,Male,1,405000,3.875,825000,64,25-34
Hispanic or Latino,White,Male,1,425000,4.25,525000,107,55-64
Hispanic or Latino,White,Male,1,365000,3.375,425000,105,35-44
Not Hispanic or Latino,White,Male,1,405000,4.625,395000,81,45-54
Not Hispanic or Latino,Asian,Male,1,375000,5.5,465000,84,35-44
Not Hispanic or Latino,White,Male,1,495000,4.625,555000,161,45-54
Hispanic or Latino,White,Male,1,375000,3.99,415000,65,35-44
Not Hispanic or Latino,Asian,Male,1,295000,6.125,545000,180,45-54
Not Hispanic or Latino,White,Joint,1,445000,4.375,565000,168,45-54
Not Hispanic or Latino,Asian,Female,1,375000,4.375,495000,93,45-54
Hispanic or Latino,White,Joint,1,365000,4.5,465000,127,35-44
Not Hispanic or Latino,White,Male,1,275000,3.99,365000,94,55-64
Ethnicity Not Available,Race Not Available,Female,1,525000,4.25,545000,157,25-34
Hispanic or Latino,White,Male,1,235000,4.125,235000,61,25-34
Not Hispanic or Latino,White,Sex Not Available,1,185000,4,655000,46,65-74
Ethnicity Not Available,Race Not Available,Male,1,395000,3,585000,112,35-44
Not Hispanic or Latino,Black or African American,Male,1,355000,3.75,415000,95,65-74
Hispanic or Latino,White,Male,1,345000,3.99,585000,66,25-34
Not Hispanic or Latino,White,Joint,1,615000,4.125,825000,120,35-44
Not Hispanic or Latino,White,Male,1,505000,3.5,615000,104,25-34
Not Hispanic or Latino,White,Joint,1,435000,3.5,595000,136,25-34
Not Hispanic or Latino,White,Female,1,195000,4.99,285000,43,55-64
Not Hispanic or Latino,Joint,Joint,1,585000,4.75,735000,140,35-44
Hispanic or Latino,White,Male,1,475000,4.875,545000,131,35-44
Hispanic or Latino,White,Female,1,485000,3.75,545000,101,45-54
Not Hispanic or Latino,Asian,Male,1,555000,3.875,585000,112,25-34
Not Hispanic or Latino,Asian,Joint,1,555000,3.875,955000,84,65-74
Ethnicity Not Available,Race Not Available,Sex Not Available,1,685000,3.875,725000,207,25-34
Not Hispanic or Latino,White,Joint,1,425000,4.875,535000,104,55-64
Hispanic or Latino,White,Joint,1,305000,3.875,605000,60,55-64
Hispanic or Latino,White,Joint,1,505000,4.25,545000,104,35-44
Ethnicity Not Available,Race Not Available,Joint,1,565000,4,575000,194,35-44
Not Hispanic or Latino,White,Male,1,155000,3.625,255000,72,35-44
Not Hispanic or Latino,White,Male,1,295000,3.375,505000,132,45-54
Hispanic or Latino,White,Female,1,415000,4,575000,72,35-44
Not Hispanic or Latino,White,Male,1,445000,5.375,555000,140,55-64
Not Hispanic or Latino,Black or African American,Male,1,295000,4.5,375000,77,45-54
Hispanic or Latino,White,Male,1,285000,3.875,525000,117,35-44
Hispanic or Latino,White,Female,1,265000,4.375,295000,82,55-64
Not Hispanic or Latino,White,Male,1,335000,3.875,475000,118,65-74
Not Hispanic or Latino,Asian,Joint,1,685000,3.875,855000,219,35-44
Not Hispanic or Latino,White,Female,1,205000,3.99,415000,131,65-74
Ethnicity Not Available,White,Female,1,185000,3.99,235000,42,35-44
Ethnicity Not Available,Race Not Available,Male,1,355000,3.875,575000,62,25-34
Not Hispanic or Latino,Race Not Available,Female,1,375000,3.5,385000,107,35-44
Not Hispanic or Latino,Asian,Female,1,495000,3.875,595000,161,45-54
Not Hispanic or Latino,Asian,Male,1,415000,3.625,595000,108,25-34
Hispanic or Latino,White,Male,1,305000,3.75,325000,0,35-44
Not Hispanic or Latino,Asian,Joint,1,665000,3.75,665000,97,45-54
Hispanic or Latino,White,Male,1,335000,4.375,355000,65,55-64
Not Hispanic or Latino,White,Joint,1,425000,3.99,535000,171,45-54
Ethnicity Not Available,Race Not Available,Sex Not Available,1,235000,3.49,315000,109,45-54
Hispanic or Latino,White,Joint,1,295000,4.25,305000,89,45-54
Joint,White,Joint,1,565000,3.625,975000,151,55-64
Joint,White,Joint,1,585000,4,645000,229,45-54
Not Hispanic or Latino,White,Male,1,425000,3.75,545000,142,35-44
Hispanic or Latino,White,Female,1,145000,3.625,255000,55,55-64
Hispanic or Latino,White,Male,1,405000,3.99,415000,87,25-34
Hispanic or Latino,White,Male,1,295000,4.125,295000,54,<25
Hispanic or Latino,White,Male,1,405000,3.625,465000,75,45-54
Not Hispanic or Latino,White,Male,1,415000,3.5,555000,72,45-54
Not Hispanic or Latino,Asian,Joint,1,485000,3.99,555000,75,25-34
Not Hispanic or Latino,White,Male,1,345000,3.875,425000,103,45-54
Not Hispanic or Latino,White,Male,1,725000,3.875,855000,144,25-34
Not Hispanic or Latino,White,Male,1,175000,4.25,185000,52,25-34
Hispanic or Latino,White,Joint,1,515000,4.25,525000,99,25-34
Hispanic or Latino,White,Male,1,375000,3.25,465000,123,35-44
Hispanic or Latino,Asian,Female,1,485000,3.875,725000,82,55-64
Hispanic or Latino,White,Female,1,405000,3.375,455000,82,25-34
Not Hispanic or Latino,White,Joint,1,435000,3.875,735000,123,35-44
Not Hispanic or Latino,White,Male,1,255000,3.99,325000,76,35-44
Not Hispanic or Latino,White,Joint,1,345000,3.99,505000,78,55-64
Hispanic or Latino,White,Joint,1,395000,3.875,415000,87,45-54
Not Hispanic or Latino,Black or African American,Male,1,385000,3.75,515000,75,55-64
Not Hispanic or Latino,White,Female,1,485000,3.125,935000,152,45-54
Hispanic or Latino,White,Male,1,555000,3.875,585000,135,25-34
Ethnicity Not Available,Race Not Available,Sex Not Available,1,525000,3.625,615000,0,45-54
Not Hispanic or Latino,Black or African American,Female,1,615000,4.25,625000,254,25-34
Not Hispanic or Latino,White,Joint,1,275000,3.75,375000,122,45-54
Not Hispanic or Latino,Asian,Female,1,505000,5.25,635000,120,25-34
Not Hispanic or Latino,White,Joint,1,315000,3.625,535000,65,55-64
Hispanic or Latino,Race Not Available,Male,1,435000,3.625,515000,93,25-34
Not Hispanic or Latino,Black or African American,Female,1,345000,3.625,405000,0,>74
Not Hispanic or Latino,White,Male,1,455000,4,655000,104,35-44
Hispanic or Latino,White,Joint,1,455000,3.125,645000,174,45-54
Hispanic or Latino,White,Male,1,235000,4.375,415000,76,25-34
Not Hispanic or Latino,White,Male,1,305000,3.99,345000,74,25-34
Not Hispanic or Latino,Race Not Available,Male,3,565000,4.458762699,585000,113,25-34
